subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
-93.0,48.0,10.0,7.0,13.0,4.0,18.0,-5.0,3399.08
-73.0,112.0,11.0,0.0,-9.0,3.0,-19.0,4.0,3399.09
-68.0,-64.0,11.0,-3.0,13.0,1.0,7.0,1.0,3399.09
-126.0,32.0,8.0,13.0,-8.0,6.0,-9.0,27.0,3399.1
-2.0,-32.0,15.0,21.0,17.0,16.0,47.0,-7.0,3399.1
-126.0,32.0,8.0,6.0,-6.0,17.0,8.0,25.0,3399.11
-126.0,32.0,8.0,1.0,36.0,-12.0,32.0,7.0,3399.11
-98.0,-32.0,9.0,6.0,-10.0,3.0,-2.0,6.0,3399.13
-118.0,-96.0,8.0,14.0,-4.0,2.0,-7.0,11.0,3399.18
-98.0,-32.0,9.0,-11.0,17.0,-26.0,23.0,-29.0,3399.19
-2.0,-32.0,15.0,-27.0,-3.0,-22.0,-15.0,-36.0,3399.19
108.0,-64.0,6.0,4.0,5.0,8.0,1.0,4.0,3399.2
98.0,32.0,6.0,6.0,-2.0,5.0,-13.0,-4.0,3399.21
-91.0,80.0,10.0,23.0,2.0,10.0,3.0,4.0,3399.21
98.0,32.0,6.0,-4.0,18.0,-19.0,12.0,-3.0,3399.23
-71.0,-112.0,11.0,-1.0,6.0,-4.0,-10.0,-2.0,3399.24
-125.0,48.0,8.0,-6.0,-1.0,-9.0,-1.0,-6.0,3399.24
108.0,-64.0,6.0,5.0,-21.0,2.0,-25.0,14.0,3399.28
98.0,32.0,6.0,13.0,-44.0,11.0,-48.0,24.0,3399.29
-91.0,80.0,10.0,14.0,39.0,17.0,33.0,25.0,3399.3
94.0,-32.0,5.0,-15.0,-8.0,-42.0,2.0,-45.0,3399.3
94.0,-32.0,5.0,-1.0,19.0,-12.0,41.0,-4.0,3399.31
-71.0,-112.0,11.0,29.0,14.0,41.0,4.0,34.0,3399.31
-125.0,48.0,8.0,10.0,29.0,28.0,43.0,17.0,3399.32
-105.0,112.0,9.0,-21.0,13.0,-31.0,15.0,-43.0,3399.32
-128.0,0.0,8.0,-18.0,-28.0,-21.0,-24.0,-44.0,3399.33
108.0,-64.0,6.0,-14.0,33.0,-31.0,19.0,-24.0,3399.33
-102.0,-96.0,9.0,2.0,-2.0,3.0,-12.0,13.0,3399.34
-82.0,-32.0,10.0,1.0,-6.0,-3.0,3.0,-1.0,3399.35
-93.0,48.0,10.0,-2.0,2.0,-2.0,4.0,-3.0,3399.35
-73.0,112.0,11.0,2.0,-2.0,12.0,3.0,8.0,3399.36
-102.0,-96.0,9.0,-18.0,3.0,-17.0,12.0,-12.0,3399.39
-82.0,-32.0,10.0,28.0,22.0,31.0,9.0,42.0,3399.39
-83.0,-48.0,10.0,7.0,19.0,21.0,10.0,34.0,3399.4
-63.0,16.0,12.0,44.0,-21.0,33.0,-17.0,31.0,3399.4
94.0,-32.0,5.0,-22.0,-26.0,-14.0,-28.0,0.0,3399.41
-98.0,-32.0,9.0,-38.0,-19.0,-19.0,-5.0,-41.0,3399.41
94.0,-32.0,5.0,-6.0,-37.0,-15.0,-50.0,-24.0,3399.42
