subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
125.0,-48.0,7.0,-1.0,-2.0,1.0,4.0,4.0,1988.01
-126.0,32.0,8.0,5.0,-22.0,4.0,-12.0,-7.0,1988.03
30.0,-32.0,1.0,-10.0,-30.0,-8.0,-28.0,-9.0,1988.04
80.0,0.0,5.0,8.0,-1.0,20.0,9.0,18.0,1988.04
-98.0,-32.0,9.0,2.0,29.0,51.0,22.0,48.0,1988.05
94.0,-32.0,5.0,-12.0,35.0,-15.0,31.0,0.0,1988.05
108.0,-64.0,6.0,36.0,26.0,21.0,36.0,33.0,1988.06
94.0,-32.0,5.0,18.0,-4.0,29.0,53.0,31.0,1988.07
124.0,-64.0,7.0,4.0,3.0,29.0,-28.0,55.0,1988.07
125.0,-48.0,7.0,30.0,20.0,47.0,27.0,45.0,1988.08
-111.0,16.0,9.0,-6.0,15.0,-32.0,27.0,-33.0,1988.08
72.0,-127.0,20.0,-22.0,11.0,-15.0,14.0,-26.0,1988.09
92.0,-63.0,21.0,-9.0,-8.0,-13.0,-12.0,-11.0,1988.09
73.0,-111.0,20.0,12.0,2.0,-9.0,-1.0,-4.0,1988.1
93.0,-47.0,21.0,1.0,-7.0,-3.0,-8.0,2.0,1988.11
98.0,32.0,6.0,-3.0,1.0,-3.0,3.0,-9.0,1988.11
98.0,32.0,6.0,-10.0,-2.0,-10.0,2.0,-1.0,1988.12
-128.0,0.0,8.0,4.0,-1.0,8.0,3.0,-1.0,1988.13
98.0,32.0,6.0,0.0,2.0,-14.0,-1.0,-2.0,1988.14
16.0,1.0,17.0,6.0,-17.0,12.0,-10.0,14.0,1988.15
86.0,96.0,5.0,3.0,-15.0,2.0,-20.0,7.0,1988.15
124.0,-64.0,7.0,12.0,-12.0,14.0,-10.0,15.0,1988.16
-61.0,48.0,12.0,7.0,6.0,8.0,12.0,9.0,1988.16
73.0,-111.0,20.0,13.0,-6.0,15.0,-5.0,14.0,1988.17
93.0,-47.0,21.0,4.0,12.0,8.0,11.0,8.0,1988.18
98.0,32.0,6.0,-7.0,16.0,-4.0,15.0,-6.0,1988.18
94.0,-32.0,5.0,-12.0,-8.0,-18.0,-7.0,-13.0,1988.19
94.0,-32.0,5.0,-4.0,16.0,-9.0,14.0,-10.0,1988.19
-128.0,0.0,8.0,11.0,14.0,11.0,12.0,11.0,1988.2
30.0,-32.0,1.0,-29.0,-11.0,-28.0,-10.0,-27.0,1988.23
-128.0,0.0,8.0,-17.0,-17.0,-12.0,-14.0,-30.0,1988.25
-34.0,-30.0,45.0,-11.0,18.0,-8.0,40.0,-28.0,1988.25
-98.0,-32.0,9.0,10.0,8.0,8.0,6.0,11.0,1988.26
-6.0,-96.0,15.0,-4.0,11.0,-7.0,10.0,-8.0,1988.27
108.0,-64.0,6.0,-6.0,4.0,-15.0,8.0,-14.0,1988.27
94.0,-32.0,5.0,-9.0,4.0,-15.0,1.0,-15.0,1988.28
94.0,-32.0,5.0,11.0,25.0,18.0,34.0,19.0,1988.28
-98.0,-32.0,9.0,8.0,-12.0,12.0,-8.0,6.0,1988.29
94.0,-32.0,5.0,10.0,6.0,9.0,10.0,6.0,1988.29
-6.0,-96.0,15.0,6.0,-5.0,8.0,-6.0,13.0,1988.3
-5.0,-80.0,15.0,-9.0,-15.0,-8.0,2.0,-8.0,1988.31
90.0,-96.0,5.0,3.0,-5.0,-1.0,-10.0,1.0,1988.32
30.0,-32.0,1.0,-31.0,-15.0,-29.0,-15.0,-29.0,1988.34
94.0,-32.0,5.0,-7.0,9.0,-8.0,4.0,-13.0,1988.35
94.0,-32.0,5.0,-2.0,12.0,1.0,11.0,-1.0,1988.36
