subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,timestamp
94.0,-32.0,5.0,13.0,-16.0,17.0,19.0,-6.0,1415.04
124.0,-64.0,7.0,3.0,-7.0,10.0,-11.0,-4.0,1415.05
-125.0,48.0,8.0,14.0,7.0,9.0,13.0,-5.0,1415.05
94.0,-32.0,5.0,7.0,5.0,-2.0,9.0,5.0,1415.08
98.0,32.0,6.0,7.0,-2.0,1.0,2.0,-1.0,1415.08
98.0,32.0,6.0,-6.0,-2.0,-6.0,-11.0,-4.0,1415.09
86.0,96.0,5.0,4.0,-2.0,3.0,5.0,-9.0,1415.09
94.0,-32.0,5.0,-5.0,3.0,3.0,-2.0,3.0,1415.1
-65.0,-16.0,11.0,6.0,2.0,2.0,2.0,-8.0,1415.1
124.0,-64.0,7.0,-3.0,5.0,5.0,2.0,2.0,1415.11
94.0,-32.0,5.0,-5.0,1.0,-8.0,-5.0,4.0,1415.11
98.0,32.0,6.0,-4.0,2.0,-4.0,5.0,3.0,1415.12
98.0,32.0,6.0,3.0,-4.0,-2.0,-3.0,-4.0,1415.12
94.0,-32.0,5.0,-5.0,-4.0,-6.0,-8.0,7.0,1415.13
94.0,-32.0,5.0,0.0,-1.0,-5.0,-4.0,6.0,1415.14
86.0,96.0,5.0,-2.0,8.0,-3.0,0.0,10.0,1415.14
117.0,82.0,39.0,6.0,3.0,9.0,1.0,-2.0,1415.15
-119.0,-110.0,40.0,30.0,7.0,27.0,14.0,13.0,1415.15
125.0,-48.0,7.0,-1.0,-10.0,5.0,-7.0,-15.0,1415.16
117.0,82.0,39.0,3.0,-2.0,1.0,-1.0,-8.0,1415.19
-119.0,-110.0,40.0,3.0,-4.0,2.0,-4.0,-3.0,1415.2
-51.0,-48.0,12.0,-7.0,0.0,-2.0,-5.0,9.0,1415.2
94.0,-32.0,5.0,-6.0,2.0,-7.0,-6.0,9.0,1415.21
94.0,-32.0,5.0,-1.0,2.0,1.0,-6.0,11.0,1415.21
94.0,-32.0,5.0,-3.0,0.0,3.0,3.0,5.0,1415.22
124.0,-64.0,7.0,4.0,2.0,1.0,4.0,-11.0,1415.23
108.0,-64.0,6.0,-1.0,3.0,3.0,1.0,6.0,1415.23
94.0,-32.0,5.0,-7.0,2.0,1.0,4.0,9.0,1415.24
94.0,-32.0,5.0,1.0,0.0,5.0,7.0,-7.0,1415.24
124.0,-64.0,7.0,-21.0,7.0,-14.0,-14.0,0.0,1415.25
100.0,65.0,22.0,11.0,-8.0,-2.0,2.0,-13.0,1415.27
120.0,-127.0,23.0,-4.0,-7.0,-5.0,-2.0,0.0,1415.28
124.0,-64.0,7.0,2.0,-1.0,5.0,5.0,-7.0,1415.29
100.0,65.0,22.0,-3.0,2.0,-4.0,2.0,9.0,1415.3
120.0,-127.0,23.0,-4.0,-5.0,-5.0,-8.0,6.0,1415.31
86.0,96.0,5.0,-4.0,-7.0,0.0,-5.0,-2.0,1415.31
